timestamp,machine_id,machine_type,temperature_C,vibration_g,feature_1,operating_hours,RUL,failure,feature_1_name
2023-01-01 00:00:00,CNC_1,CNC,64.09,0.606,49.83,0.0,5294.4,0,spindle_load_%
2023-01-01 00:12:00,CNC_1,CNC,64.8,0.479,54.96,284.45,3336.37,0,spindle_load_%
2023-01-01 00:24:00,CNC_1,CNC,70.25,0.829,66.85,311.07,3356.32,0,spindle_load_%
2023-01-01 00:36:00,CNC_1,CNC,68.37,0.542,51.76,277.09,3671.13,0,spindle_load_%
2023-01-01 00:48:00,CNC_1,CNC,69.42,0.388,53.56,0.0,4597.59,0,spindle_load_%
2023-01-01 01:00:00,CNC_1,CNC,80.97,0.445,48.99,0.0,5421.19,0,spindle_load_%
2023-01-01 01:12:00,CNC_1,CNC,69.39,0.833,68.94,441.94,2654.5,0,spindle_load_%
2023-01-01 01:24:00,CNC_1,CNC,57.81,0.538,49.65,0.0,4585.78,0,spindle_load_%
2023-01-01 01:36:00,CNC_1,CNC,74.37,0.562,51.44,0.51,4745.31,0,spindle_load_%
2023-01-01 01:48:00,CNC_1,CNC,84.79,0.945,88.58,882.35,589.47,0,spindle_load_%
2023-01-01 02:00:00,CNC_1,CNC,77.39,0.672,69.78,738.08,1393.03,0,spindle_load_%
2023-01-01 02:12:00,CNC_1,CNC,70.15,0.35,51.77,0.0,5158.7,0,spindle_load_%
2023-01-01 02:24:00,CNC_1,CNC,60.22,0.464,71.5,0.0,5236.18,0,spindle_load_%
2023-01-01 02:36:00,CNC_1,CNC,64.22,0.586,75.42,296.94,3373.35,0,spindle_load_%
2023-01-01 02:48:00,CNC_1,CNC,71.67,0.75,60.63,443.23,2939.28,0,spindle_load_%
2023-01-01 03:00:00,CNC_1,CNC,68.54,0.428,65.68,80.69,4858.9,0,spindle_load_%
2023-01-01 03:12:00,CNC_1,CNC,78.4,1.087,74.56,527.58,2279.32,0,spindle_load_%
2023-01-01 03:24:00,CNC_1,CNC,71.75,0.634,62.41,379.98,3406.26,0,spindle_load_%
2023-01-01 03:36:00,CNC_1,CNC,69.32,0.461,61.61,169.76,4152.2,0,spindle_load_%
2023-01-01 03:48:00,CNC_1,CNC,81.79,0.657,84.52,680.11,1444.04,0,spindle_load_%
2023-01-01 04:00:00,CNC_1,CNC,71.59,0.382,38.03,0.0,4907.84,0,spindle_load_%
2023-01-01 04:12:00,CNC_1,CNC,72.95,1.034,76.79,754.69,1268.29,0,spindle_load_%
2023-01-01 04:24:00,CNC_1,CNC,71.46,0.782,84.63,763.93,1285.77,0,spindle_load_%
2023-01-01 04:36:00,CNC_1,CNC,68.23,0.384,53.06,37.42,4638.54,0,spindle_load_%
2023-01-01 04:48:00,CNC_1,CNC,63.04,0.262,67.92,0.0,5445.37,0,spindle_load_%
2023-01-01 05:00:00,CNC_1,CNC,64.15,0.613,68.7,54.02,5174.92,0,spindle_load_%
2023-01-01 05:12:00,CNC_1,CNC,73.58,0.479,65.4,246.94,3665.91,0,spindle_load_%
2023-01-01 05:24:00,CNC_1,CNC,70.07,0.472,67.98,345.92,3209.38,0,spindle_load_%
2023-01-01 05:36:00,CNC_1,CNC,65.56,0.836,64.18,422.1,3119.68,0,spindle_load_%
2023-01-01 05:48:00,CNC_1,CNC,66.01,0.442,52.93,0.0,4970.52,0,spindle_load_%
2023-01-01 06:00:00,CNC_1,CNC,67.93,0.329,61.97,0.0,5332.89,0,spindle_load_%
2023-01-01 06:12:00,CNC_1,CNC,64.14,0.654,82.25,374.28,3276.42,0,spindle_load_%
2023-01-01 06:24:00,CNC_1,CNC,67.97,0.617,75.06,620.97,1851.19,0,spindle_load_%
2023-01-01 06:36:00,CNC_1,CNC,65.9,0.453,58.91,0.0,4634.29,0,spindle_load_%
2023-01-01 06:48:00,CNC_1,CNC,68.17,0.566,58.28,0.0,5197.71,0,spindle_load_%
2023-01-01 07:00:00,CNC_1,CNC,63.79,0.501,70.2,0.0,5266.97,0,spindle_load_%
2023-01-01 07:12:00,CNC_1,CNC,73.33,0.614,81.84,555.2,2333.05,0,spindle_load_%
2023-01-01 07:24:00,CNC_1,CNC,69.66,0.285,72.3,311.9,3180.52,0,spindle_load_%
2023-01-01 07:36:00,CNC_1,CNC,68.91,0.65,70.83,443.24,2964.4,0,spindle_load_%
2023-01-01 07:48:00,CNC_1,CNC,70.17,0.675,59.94,247.6,3766.37,0,spindle_load_%
2023-01-01 08:00:00,CNC_1,CNC,67.57,0.361,60.91,0.0,4698.83,0,spindle_load_%
2023-01-01 08:12:00,CNC_1,CNC,68.08,0.26,63.69,0.0,5349.59,0,spindle_load_%
2023-01-01 08:24:00,CNC_1,CNC,62.32,0.521,57.94,0.0,5181.33,0,spindle_load_%
2023-01-01 08:36:00,CNC_1,CNC,81.95,0.677,67.73,553.08,2107.62,0,spindle_load_%
2023-01-01 08:48:00,CNC_1,CNC,67.75,0.468,67.09,188.87,4362.2,0,spindle_load_%
2023-01-01 09:00:00,CNC_1,CNC,56.92,0.242,46.46,0.0,5050.74,0,spindle_load_%
2023-01-01 09:12:00,CNC_1,CNC,71.39,0.722,57.44,111.59,4111.96,0,spindle_load_%
2023-01-01 09:24:00,CNC_1,CNC,69.33,0.618,74.65,304.35,3393.62,0,spindle_load_%
2023-01-01 09:36:00,CNC_1,CNC,64.87,0.616,71.82,319.32,3370.51,0,spindle_load_%
2023-01-01 09:48:00,CNC_1,CNC,67.51,0.428,63.01,0.0,5053.54,0,spindle_load_%
2023-01-01 10:00:00,CNC_1,CNC,60.29,0.854,67.38,555.43,2371.46,0,spindle_load_%
2023-01-01 10:12:00,CNC_1,CNC,62.6,0.747,79.5,409.6,2934.45,0,spindle_load_%
2023-01-01 10:24:00,CNC_1,CNC,64.31,0.543,67.9,0.0,4662.23,0,spindle_load_%
2023-01-01 10:36:00,CNC_1,CNC,71.57,0.646,60.94,0.0,4880.98,0,spindle_load_%
2023-01-01 10:48:00,CNC_1,CNC,66.91,0.221,56.1,86.29,4703.11,0,spindle_load_%
2023-01-01 11:00:00,CNC_1,CNC,60.78,0.726,53.59,0.0,5084.56,0,spindle_load_%
2023-01-01 11:12:00,CNC_1,CNC,73.76,0.808,71.63,543.7,2410.11,0,spindle_load_%
2023-01-01 11:24:00,CNC_1,CNC,78.89,0.523,67.38,396.67,2841.14,0,spindle_load_%
2023-01-01 11:36:00,CNC_1,CNC,61.29,0.202,50.11,0.0,5171.87,0,spindle_load_%
2023-01-01 11:48:00,CNC_1,CNC,64.81,0.336,49.46,0.0,4600.32,0,spindle_load_%
2023-01-01 12:00:00,CNC_1,CNC,69.77,0.86,66.57,661.48,1830.98,0,spindle_load_%
2023-01-01 12:12:00,CNC_1,CNC,74.95,0.658,55.63,430.44,2729.58,0,spindle_load_%
2023-01-01 12:24:00,CNC_1,CNC,67.45,0.447,65.55,251.86,3680.94,0,spindle_load_%
2023-01-01 12:36:00,CNC_1,CNC,71.7,0.119,55.92,0.0,4877.52,0,spindle_load_%
2023-01-01 12:48:00,CNC_1,CNC,64.2,0.501,56.71,0.0,4785.59,0,spindle_load_%
2023-01-01 13:00:00,CNC_1,CNC,64.45,0.48,55.05,185.89,3835.51,0,spindle_load_%
2023-01-01 13:12:00,CNC_1,CNC,83.77,0.939,97.0,847.29,831.96,0,spindle_load_%
2023-01-01 13:24:00,CNC_1,CNC,67.45,0.404,48.4,199.75,3681.92,0,spindle_load_%
2023-01-01 13:36:00,CNC_1,CNC,57.89,0.239,60.95,135.15,3930.54,0,spindle_load_%
2023-01-01 13:48:00,CNC_1,CNC,67.54,0.163,62.16,0.0,5168.91,0,spindle_load_%
2023-01-01 14:00:00,CNC_1,CNC,66.86,0.593,76.44,279.24,3849.94,0,spindle_load_%
2023-01-01 14:12:00,CNC_1,CNC,69.48,0.36,47.87,0.0,5141.74,0,spindle_load_%
