timestamp,machine_id,machine_type,temperature_C,vibration_g,feature_1,time_since_last_maintenance,RUL,failure,feature_1_name
2023-01-01 00:00:00,CNC_1,CNC,64.09,0.606,49.83,0.2,4502.24,0,spindle_load_%
2023-01-01 00:12:00,CNC_1,CNC,64.8,0.479,54.96,0.4,3468.37,0,spindle_load_%
2023-01-01 00:24:00,CNC_1,CNC,70.25,0.829,66.85,0.6,3259.72,0,spindle_load_%
2023-01-01 00:36:00,CNC_1,CNC,68.37,0.542,51.76,0.8,3502.53,0,spindle_load_%
2023-01-01 00:48:00,CNC_1,CNC,69.42,0.388,53.56,1.0,5359.41,0,spindle_load_%
2023-01-01 01:00:00,CNC_1,CNC,80.97,0.445,48.99,1.2,4754.3,0,spindle_load_%
2023-01-01 01:12:00,CNC_1,CNC,69.39,0.833,68.94,1.4,2890.13,0,spindle_load_%
2023-01-01 01:24:00,CNC_1,CNC,57.81,0.538,49.65,1.6,4712.78,0,spindle_load_%
2023-01-01 01:36:00,CNC_1,CNC,74.37,0.562,51.44,1.8,5132.75,0,spindle_load_%
2023-01-01 01:48:00,CNC_1,CNC,84.79,0.945,88.58,2.0,736.85,0,spindle_load_%
2023-01-01 02:00:00,CNC_1,CNC,77.39,0.672,69.78,2.2,2147.24,0,spindle_load_%
2023-01-01 02:12:00,CNC_1,CNC,70.15,0.35,51.77,2.4,4816.55,0,spindle_load_%
2023-01-01 02:24:00,CNC_1,CNC,60.22,0.464,71.5,2.6,5284.36,0,spindle_load_%
2023-01-01 02:36:00,CNC_1,CNC,64.22,0.586,75.42,2.8,3146.95,0,spindle_load_%
2023-01-01 02:48:00,CNC_1,CNC,71.67,0.75,60.63,3.0,2660.21,0,spindle_load_%
2023-01-01 03:00:00,CNC_1,CNC,68.54,0.428,65.68,3.2,4855.36,0,spindle_load_%
2023-01-01 03:12:00,CNC_1,CNC,78.4,1.087,74.56,3.4,2779.32,0,spindle_load_%
2023-01-01 03:24:00,CNC_1,CNC,71.75,0.634,62.41,3.6,3595.05,0,spindle_load_%
2023-01-01 03:36:00,CNC_1,CNC,69.32,0.461,61.61,3.8,3968.98,0,spindle_load_%
2023-01-01 03:48:00,CNC_1,CNC,81.79,0.657,84.52,4.0,1973.83,0,spindle_load_%
2023-01-01 04:00:00,CNC_1,CNC,71.59,0.382,38.03,4.2,4930.75,0,spindle_load_%
2023-01-01 04:12:00,CNC_1,CNC,72.95,1.034,76.79,4.4,1397.99,0,spindle_load_%
2023-01-01 04:24:00,CNC_1,CNC,71.46,0.782,84.63,4.6,1396.83,0,spindle_load_%
2023-01-01 04:36:00,CNC_1,CNC,68.23,0.384,53.06,4.8,4470.51,0,spindle_load_%
2023-01-01 04:48:00,CNC_1,CNC,63.04,0.262,67.92,5.0,4591.15,0,spindle_load_%
2023-01-01 05:00:00,CNC_1,CNC,64.15,0.613,68.7,5.2,4669.77,0,spindle_load_%
